"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","i","Long","lat","from","to","party_area"
"Brexit: What Comes Next?

An article by https://t.co/X9U8zA4Zlu

https://t.co/Ltq7RyYnTh

#Lincoln #MortgageAdvice… https://t.co/UYZzkRJ8Jw",FALSE,0,NA,2020-01-09 09:28:38,TRUE,NA,"1215203716934094848",NA,"<a href=\"https://about.twitter.com/products/tweetdeck\" rel=\"nofollow\">TweetDeck</a>","lincolnmoneyman",0,FALSE,FALSE,NA,NA,2,53.2252591175,-0.495118436254,"2020-01-09","2020-01-10","Conservative"
"UK accused of 'behaving like cowboys' over EU database copying https://t.co/dYkzHC6xJb | @JenniferMerode on the… https://t.co/hB4q4RkptJ",FALSE,0,"owenboswarva",2020-01-09 17:16:49,TRUE,"1155025498449293312","1215321540943925248","304572237","<a href=\"http://twitter.com\" rel=\"nofollow\">Twitter Web Client</a>","owenboswarva",0,FALSE,FALSE,NA,NA,2,52.6599701833,-0.126594760956,"2020-01-09","2020-01-10","Conservative"
"RT @sabbygill7: The uncertainty around #brexit is spurring investment in the manufacturing industry, but how will they adapt for the 4th in…",FALSE,0,NA,2020-01-09 20:37:05,FALSE,NA,"1215371939784642560",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","AgnesMullerSage",3,TRUE,FALSE,NA,NA,2,51.066886785,-0.842847975523,"2020-01-09","2020-01-10","Conservative"
"RT @sabbygill7: The uncertainty around #brexit is spurring investment in the manufacturing industry, but how will they adapt for the 4th in…",FALSE,0,NA,2020-01-09 20:30:39,FALSE,NA,"1215370322104475655",NA,"<a href=\"http://twitter.com/#!/download/ipad\" rel=\"nofollow\">Twitter for iPad</a>","sagechristucker",3,TRUE,FALSE,NA,NA,2,51.066886785,-0.842847975523,"2020-01-09","2020-01-10","Conservative"
"More #Brexit reality...and it's not good news for UK Services. https://t.co/hoASKzXTAu",FALSE,0,NA,2020-01-09 19:13:51,FALSE,NA,"1215350993984131072",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","stevenphillips7",0,FALSE,FALSE,NA,NA,2,51.066886785,-0.842847975523,"2020-01-09","2020-01-10","Conservative"
"RT @sabbygill7: The uncertainty around #brexit is spurring investment in the manufacturing industry, but how will they adapt for the 4th in…",FALSE,0,NA,2020-01-09 16:49:31,FALSE,NA,"1215314670548144128",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","andyrickeard71",3,TRUE,FALSE,NA,NA,2,51.066886785,-0.842847975523,"2020-01-09","2020-01-10","Conservative"
"The uncertainty around #brexit is spurring investment in the manufacturing industry, but how will they adapt for th… https://t.co/k6nzIcwAPl",FALSE,11,NA,2020-01-09 12:44:37,TRUE,NA,"1215253038648250368",NA,"<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","sabbygill7",3,FALSE,FALSE,NA,NA,2,51.066886785,-0.842847975523,"2020-01-09","2020-01-10","Conservative"
"A dose of #Brexit reality from @DavidHenigUK <U+0001F447>
Meanwhile the Johnson Government (under ERG control) still refuses t… https://t.co/g2lVgXvAhg",FALSE,1,NA,2020-01-09 08:59:32,TRUE,NA,"1215196396074295296",NA,"<a href=\"http://twitter.com/download/android\" rel=\"nofollow\">Twitter for Android</a>","stevenphillips7",0,FALSE,FALSE,NA,NA,2,51.066886785,-0.842847975523,"2020-01-09","2020-01-10","Conservative"
"Fuckers. #Brexit https://t.co/5poP1J6qwL",FALSE,2,NA,2020-01-09 07:09:27,FALSE,NA,"1215168693476392960",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","spaceagefilms",0,FALSE,FALSE,NA,NA,2,51.066886785,-0.842847975523,"2020-01-09","2020-01-10","Conservative"
"@geor97 @powell_desmond Yep, #Brexit Geor.

#GetBrexitDone @BorisJohnson",FALSE,2,"geor97",2020-01-09 23:42:33,FALSE,"1215416849455861760","1215418614213423105","72928651","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","GentlemanGeorge",0,FALSE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"Oh it’s all gone quiet over there....#Brexit https://t.co/fVHESij6eF",FALSE,0,NA,2020-01-09 22:31:43,FALSE,NA,"1215400788253716581",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RichardJarret20",0,FALSE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"How very childish - #Brexit bill became law &amp; @itvnews faded out sound as deputy speaker said “the ayes have it.”
T… https://t.co/vysFcVv6RX",FALSE,0,NA,2020-01-09 22:28:38,TRUE,NA,"1215400012055752704",NA,"<a href=\"http://twitter.com/download/iphone\" rel=\"nofollow\">Twitter for iPhone</a>","RichardJarret20",0,FALSE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
"@DrBob_Drop @BethRigby @BorisJohnson Without which #Brexit would have been in question Bob, looking good don't you… https://t.co/NLKU6kVccK",FALSE,0,"DrBob_Drop",2020-01-09 22:17:41,TRUE,"1215396195314688003","1215397257173962753","1142827996258197506","<a href=\"https://mobile.twitter.com\" rel=\"nofollow\">Twitter Web App</a>","GentlemanGeorge",0,FALSE,FALSE,NA,NA,2,51.1047739332,0.358450805816,"2020-01-09","2020-01-10","Conservative"
