"","lyrics","song","year","album","peak","us_pop","us_rnb","decade","chart_level","charted"
"474","that right  pleased to meet you i still  unverified  tell you my name do not you believe in mystery  do not you wanna play my game  i am lookin  for a man to love me like i never been loved before i am lookin  for a man that will do it anywhere even on  unverified  limousine floor  cuz tonight  i am living in a fantasy my own little nasty world tonight  do not you wanna come with me  do you think i am a nasty girl  tonight  living in a fantasy my own little nasty world tonight  do not you wanna come with me  do you think i am a nasty girl  i guess i am just used to sailors i think they got water on the brain i think they got more water upstairs than they got sugar on  unverified  candy cane that right  it been a long time since i had a man  unverified  did it real good if you ai not scared  take it out i will do it like a real live nasty girl should tonight  i am living in a fantasy my own little nasty world tonight  do not you wanna come with me  do you think i am a nasty girl  tonight  i am living in a fantasy my own little nasty world tonight  do not you wanna come with me  do you think i am a nasty girl  tonight  i am living in a fantasy my own little nasty world tonight  do not you wanna come with me  do you think i am a nasty girl  tonight  i am living in a fantasy my own little nasty world tonight  do not you wanna come with me  do you think i am a nasty girl  please  please please  please nasty girl  nasty girl  do you think i am a nasty girl  nasty girl  nasty girl  do you think i am a nasty girl  nasty girl  nasty girl  do you think i am a nasty girl  nasty girl  nasty girl  do you think i am a nasty girl   do you think i am a nasty girl  nasty girl  nasty girl  nasty girl  do you think i am a nasty girl   unverified  i do not like this groove try and give me something i can croon to catch my drift  that will work that right  i can not control it i need seven inches or more tonight i can no longer hold it get it up  get it up i can not wait anymore uh  it time to jam dance nasty girls  dance  everybody  uh  it time to jam nasty girls  dance  dance  dance  everybody  uh  it time to jam nasty girls  dance  dance  dance uh  it time to jam nasty girls  dance  dance  dance uh  it time to jam nasty girls  dance  dance  dance uh  it time to jam nasty girls  dance  dance  dance uh  it time to jam come nasty girls  dance  dance  dance are you going to come  uh  it time to jam are you going to come  are you going to come  nasty girls  dance  dance  dance uh  is that it  wake me when you are done i guess you will be the only one having fun","nasty girl",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"475","prince miscellaneous neon telephone maybe she will call me  neon telephone   maybe she will not  maybe she will not   and if she do not  neon telephone   i am gonna lose my mind  this time i am gonna lose my mind   it kinda dark in here  neon telephone   i need a light  it 2 bright   i could use a sexy situation that would do my body just right  2night i am gonna lose my mind  sometimes her pride is like a big tall building  it hides the street that leads 2 a sweet mystery   sometimes  sometimes we blow the chance 2 be so happy  happy   if we could only make up our minds  we could have such a good time  i know she wants me  neon telephone   i know she cares  i do not care   tell me what stoppin  me  i do not care 2 know   from runnin  right over there and runnin  my fingers through your hair  i am goin  crazy  yes i am  neon telephone   why can not u understand   he needs 2 change   i can not stop  can not stop  thinkin  about u  baby  this time i am gonna lose my mind  this time i am gonna lose it   why can not u call me  baby  pick up the phone  u know your little prince can not be alone  i need some of your sweet  sweet    oooh    neon telephone    i do not care    neon telephone   hello  how come u did not call   what  u think u are 2 good or something   can i talk 2 u   are u alone   good god","neon telephone",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"476","honey  we been together honey  for too long honey  we got to make it better honey        fore we go wrong got to try a new position  yeah somethin  that will make it all right new position  yeah let go fishin  in the river  the river of life honey  we can not last    we can not last  without a shot o  new spunk honey  forget your past    forget your past  you got to try my new funk you got to try a new position  yeah somethin  that will make it all right oh  a new position  yeah  yeah let go fishin  in the river  the river of life oh yeah  oh yeah  oh yeah come on and let me do ya come on and let me do ya  do ya come on and let me do ya i wanna  i wanna do ya  do ya honey  i can make you happy    i can make you h a p p y  ooh  i can make it real good    so good  honey  i will not be your pappy  p u s s y  but i will do ya  i will do ya  do ya  do ya  like a do ya  do ya like a good man should i will do ya  do ya like a good man should honey  i will try a new position  ahh  ahh","new position",1986,"Parade",NA,NA,NA,"1980s","Uncharted","Uncharted"
"477","in sports  the international basketball league was busy last night with seven games on the schedule the cavaliers came up with a surprise upset beating the bullets 108 to 99 talk  x tv  turn it on michael  what happenin    the lakers had no trouble with the rockets winning 124 to 88  you gotta watch this show that on watch what  i do not know what it is  it crazy  the nuggets just got by the nets 114 to 112  what channel is it on  x tv  turn it on alright  later  later  the super sonics devastated the jazz 136  so i am walkin  down the street and umm this mutha a comes up to me and says  yo man  you oughta let me have fifty dollars man   can you give   i said   ai not that a    you oughta get out of my face  and he tried to rob me  mutha er  and he was chokin  me  right   cuz   cuz he did not have no gun do you hear that    lucky for me  my homies was comin   round the 7 eleven and they seen what was goin  down they grabbed this mutha er  right   what up man   ripped an eyeball out  ah    him up  they beat his ass so bad  change fell out his pocket  you bastards  these  a are crazies so i said     it  i robbed him  ha ha with so much money on me i figured i oughta hit jannell house i knocked on her door  right   mmm  oh  i do not know what she was doin   oh  ooh  but i could not get no answer  she was doin  some wrong    jannell   i shouted  still no answer  mmm  oh  oh  i figured she was on the telephone or somethin   oh  so i walked around to the bathroom window pushed it up  climbed inside soon as i got inside  it hit me   i do not know what it was but it hit me hard jannell a rican  you know  and them beans and rice is a habit at jannell house  you know  i grab my mouth  my nose and i just s ed and then i ran but jannell house is real messy and i hit somethin  and i fell that somethin  was jannell  get off  i stepped on her bruised booty she got from stage diving and it made her real mad so we went to rounds jannell can bob  she kicked my ass    oh god so i left and i went to glam slam and slammed a few long island uh oh  one too many excuse me brother  better hit this alley phew  that was close  yo mutha er  ai not you the one stole my money   oh    yeah  that you  i gotta run y all  that you  a  come here   kick your mutha in  ass  now what is this crazy mutha in     man  did you see it  did you hear it man  yeah man it was so crazy  that   man ha  yeah  i know  i could not believe it ah man  but i tell you what  man i am kinda wiped out  man so i am goin  to get some rest  man yeah  i hear ya i will see you tomorrow  man  later been smokin  that headache weed  is ya  ah   a","new power day",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"478","lay down your funky weapon yeah y all  here we go pumpin  the big noise in the 90 pardon me for living  but this is my world too i can not help that what cool to us might be strange to you pardon me for breathing  can we borrow some of your air  the problem with you and your kind is that you do not know love is there lay down your funky weapon  come join us on the floor making love and music the only things worth fighting for we are the new power generation we want to change the world the only thing that in our way is you your old fashioned music  your old ideas sick and tired of you telling us what to do pardon me for thinking but there something under my hair i bet you thought the lights were on but no one living there you think that if you tell enough lies they will see the truth  i hope they bury your old ideas the same time they bury you lay down your funky weapon  come join us on the floor making love and music the only things worth fighting for we are the new power generation we want to change the world the only thing that in our way is you your old fashioned music  your old ideas sick and tired of you telling us what to do we are the new  we are the new  we are the new making love and music  new power  we stand pardon us for caring  we did not know it was against the rules if we only wanna love one another then tell me now who the fool no father  no    no sister  no brother  nobody can make me stop said if you did not come to party child  i think you better get up off my block lay down your funky weapon  come join us on the floor making love and music the only things worth fighting for we are the new power generation we want to change the world the only thing that in our way is you your old fashioned music  your old ideas sick and tired of you telling us what to do why do not you just be happy  baby  we are the new power generation we want to change the world the only thing that in our way is you your old fashioned music  your old ideas sick and tired of you telling us what to do new power generation  you have got to rearrange we are the new power generation  you have gotta give up all the fight we gotta try to love one another  baby  we are the new power generation we are the new power generation  we are the new power generation","new power generation",1990,"Graffiti Bridge",11,"64","27","1990s","Top 100","Charted"
"479","prince graffiti bridge new power generation  pt  ii   we are the new power generation   x4   fade in  do not pick my apples  do not pick my peaches  sample from  my tree   leave my tree alone  leave it alone  leave it alone  well  yeah yeah yeah      do not u look at me  if u are sad and u know it and u think u wanna blow it  look up in the sky  love is there   oobey shoo doo loo be doo  loo fly me shoo koo doo ooh  x3   sample from  oobey doop   kid   yo   kid  i got 2 do this i got the noise  i got 2 do this  man then pump the big noise  c amon in the house    this here rap about the true confession if ya listen close u  bout 2 learn a lesson u must know failure before success now this is the failure i must confess  well  i was hanging onto life trying deal with this playing the games  almost got dismissed cocaine was the thing that i took on and nowhere was the place that i was goin   preach brother  c amon  i must tell the truth  i cannot lie i was headed 4 the kill  steal  destroy  and die top 2 the bottom 2 bottom 2 top success is where i am headed  there ai not no doubt success is something that we all want but the truth is what we need 2 reach that point i had 2 give this message the so called truth i hope there somthin  in it that there 4 u like i said before  i ama tell u again   loveleft  loveright  chorus in bg x2  success is something that deep within so remember the truth   u can not go wrong the flesh is weak but the spirit is strong i know i can do this rap  and i know it right cuz i did it in the name of jesus christ c amon somebody  lets party 2night  u want me 2 what    shake    sample from  positive place   yo  what   shake  shake   alright  the new power generation has just taken control","new power generation pt ii",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"480","new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul new  new power soul hey man  what happened to the band man  yeah  a  that what i am talkin  about  ha ha ha ha yeah  go on  go on  yeah hey  hey  what happened to the horns though man  alright y all  what up with that    they are about to leave  that it  that it yeah  well hey  play me some of them 45 you got over there hey man  i ai not leavin ","new power soul",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"481","new world  new world  new world  new world when the sharpest vibration saves you from obliteration the intelligence of your bed reacts covering you head to toe with an air filled sack when the lines blur every boy and girl how we gonna make it in this brave new world  love for one another  new world love for one another  new world when you wanna find some isolation but the tracker you got from vaccination keeps playin  keeps playin    you will never walk alone   over and over they are always listening  especially on the phone when the lines blur every boy and girl how we gonna make it in this brave new world  love for one another  new world love for one another  new world wait a minute  new world did you hear about the new pill  it feels like sex guaranteed to thrill with no ill side effects a pill that will stop the wrinkles  a pill that will stop the pain a pill that will make a baby never seek political gain what it all for when you can alter biology  who or what  then my friend  will you and i be  what it all for when you can alter biology  who or what  then my friend  will you and i be  when the sharpest vibration saves you from obliteration when the melting pot stirs  how you gonna take it  when you can not tell him from her  how you gonna fake it  when the lines blur every boy and girl how you gonna make it in this brave new world  love for one another  new world  love for one another how you gonna take it  how you gonna fake it  love for one another  how you gonna take it  new world  new world  new world","new world",1996,"Emancipation",NA,NA,NA,"1990s","Uncharted","Uncharted"
"482","prince newpower soul newpower soul 2 the darkness   let there be light  2 the soundman   turn up my voice real tight  2 the n p g    if u in this    s   show me how u all get down   1 2 3  come on  get freaky  let the head bob  x2   we should all come 2gether 2 the newpower soul  get freaky  let the head bob  x2   come on  come on   it will make u feel much better   come on  baby  let go   every while in a great once there comes 2 town a show  that lives up 2 all your funkspectation no matter how high or low  a reason 2 get your freak on in a way u never freaked before  newpower soul lay claim 2 the booty   come on  let go   lemme see u get down   let the head bob  get freaky  let the head bob  come on  come on   we should all come 2gether 2 the newpower soul   lemme see u get down   let the head bob  get freaky  let the head bob  x2   come on  come on   it will make u feel much better   come on  baby  let go   every while in a day twice funky matters in our ear  as long as we keep our love strong  we will never shed no tears  the brothas be threatenin  2 jump off buildings  newpower what they fear  love 4 one another risin   newpower soul is here   lemme see u get down   let the head bob  get freaky  let the head bob  come on   we should all come 2gether 2 the newpower soul  come 2gether    lemme see u get down   let the head bob  get freaky  let the head bob  come on  come on   it will make u feel much better  feel better    come on  baby  let go   newpower soul   we should all   repeat sample   gemini rising on the 7th day  makin  mad sex  until u re in my arms  ok   cuz when u love somebody like that  it cool  u gots no need 4 the shoo bed ooh bed ooh  the good life  yeah  we will be livin   pushin  up on every freak this side of heaven  come on  come on  shake it  come on  u know i be the one with the funky music  hon   and i am layin  phat claims 2 the booty  phat claims 2 the newpower booty  keepin  the crowd movin   y all  is my one and only duty  ooh wee   with the newpower soul  right on  we should all  we  we should all  every while in the day 3 times my brother hit me on the one  get freaky   abuse like that will either make u funky or make u wanna buy a gun   we  we should all   i would much rather get my freak on and make u if i can  newpower soul lay claim 2 the booty   come on girl  let jam   get freaky  let your head bob  get freaky  let your head bob   we should all come 2gether 2 the newpower soul  come 2gether   come on  get your freak on  it will make u feel much better   come on  baby  let go    lemme see u get down   oh   yeah  yeah  yeah  come on horns  freak on  yeah  we should all come 2gether   right on  everybody coming 2 the newpower soul  let the head bob  get freaky  let the head bob  yeah    lemme see u get down   we should all come 2gether 2 the newpower soul  come on    2 the newpower soul   let the head bob  get freaky  let the head bob  yeah  well come on    lemme see u get down   we should all come 2gether 2 the newpower soul  come 2gether   right on  lemme see u get down  newpower soul","newpower soul",1998,"Newpower Soul",NA,NA,NA,"1990s","Uncharted","Uncharted"
"483","prince miscellaneous next time wipe the lipstick off your collar u do not have 2 send me flowers like u used 2 do  u do not have 2 buy me candy  i will still be your fool  all i ask is 4 a little decency and class  next time wipe the lipstick off your collar  u do not have 2 take me dancing  our backyard will do  we do not have 2 eat 2 fancy  hamburgers are cool  i do not care if u stay out until the break of dawn  next time wipe the lipstick off your collar  ca not u understand i want a true love man   ca not u comprehend i want a lover  not a friend   i do not care 4 sugar coated flattery  french kiss will suffice  blame our sex on your run down battery  holding u is nice  i know when u are lying baby  there no need 2 s   there no need 2 shout  next time wipe the lipstick off your collar  if u were not so tired baby  we would be on the floor  we would be makin  love right now  ooh  next time wipe the lipstick off your collar","next time wipe the lipstick off your collar",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"484","prince miscellaneous no call u girl  i am goin  crazy  i am lonely and i need your kiss  my body wants 2 call u but my ego says i got 2 resist  come and stop it if u want 2 but i ai not playin  second 2 none  u got 2 put your arms around me and tell me i am the only 1  no call u  u call me  ooh wee   if love is true  i will see  come on  mama  no call u  u call me  if love is true  i will see  no call u  u call me  if love is true  i will see  no call u  u call me  if love is true  i    i    i will see  yeah   no call u   no call u  u call me  if love is true  i will see  no call u  u call me  if love is true  i     alright  yeah  no call u  u call me  mama  i know u want 2  but i will not call u  u will have 2 call me  ooh wee  yeah  u    u call me  i called u in the summer  whenever i would call your ass up on the phone  no call u  u call me   yeah  yeah  ooh ","no call u",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"485","nine out of ten mortals agree today too much fame causes spiritual decay to all the punks who believe that life imitates music no more candy for you  we can not hang with you to all the punks who wanna be rock stars they do what they do there no future for you  that the life of a fool no more candy  no more candy for you we are too funky and you can not handle our groove to all the freaks in the magazines who never paid no dues no more candy for you  you can not sing it true to all the freaks walking into walls somebody put a spell on you no more candy for you  i guess the devil got a brand new fool no more candy  no more candy for you we are too funky and you can not handle our groove no more candy for you no more candy  no more candy no more candy  no more candy no more candy  no more candy for you look out sugar no more candy  no more candy for you to all the haters on the internet somebody lookin  at you no more candy for you  they got your number now  fool to all the suckers winning anything thanking the lord for what you do no more candy for you  no more candy for you no more candy  no more candy for you no more candy for you  you no more candy  no more candy for you i am too funky and you can not handle my groove no more candy  no more candy for you no more candy for you","no more candy 4 u",2009,"MPLSoUND",NA,NA,NA,"2000s","Uncharted","Uncharted"
"486","prince miscellaneous noon rendezvous i have been wondering what 2 wear  i love our noon rendezvous  i know u tell me u missed me  and i want 2 make love 2 u  your words  they intoxicate me  i shiver each time that u speak  how much more can i endure  my love   the sound of your voice makes me weak  if my bodily functions operate  this way when u just call my name  i would hate 2 see when we are finally  playing that nasty love game  your words  they intoxicate me  i shiver each time that u speak  how much more can i endure  my love   the sound of your voice makes me weak  the words are all over your face  my love  what shall u or shall i do   u could show me some new tricks  my love  i would love 2 be taught by u  i have been wondering what 2 wear  i love our noon rendezvous","noon rendezvous",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"487","it been 7 hours and 13 days since you took your love away i go out every night and sleep all day since you took your love away since you have been gone i can do whatever i want i can see who ever i choose eat my dinner in a fancy restaurant  oh yeah but nothing  nothing can take away these blues nothing compares  nothing compares 2 u oh baby it been so lonely without you here i am like a bird without a song nothin  can stop this lonely rain from fallin  tell me baby  where did i go wrong  oh baby  i can put my arms around every boy i see  oh yeah but they only remind me of you all my dames remind me of you too girl  oh yeah i went to the doctor  guess what he told me what would he tell you  guess what he told me  i am listenin  he said   rosie  what  try to have fun no matter what you do you wanna tell me why     he a fool  nothing compares no  nothing compares 2 u oh  baby all the flowers that you planted  sugar in the backyard  all died when you went away ooh baby  i know that living with me baby is sometimes hard  sometimes hard but i am willin   i am willin  to give it one more try please do you know why  do you know why  nothing compares no  nothing compares 2 u oh  baby every time i  every time i say nothing compares no  nothing compares 2 u","nothing compares 2 u",1993,"",62,"-","62","1990s","Top 100","Charted"
"488","prince miscellaneous nothing compares to you it been seven hours and fifteen days since u took your love away i go out every night and sleep all day since u took your love away since u been gone i can do whatever i want i can see whomever i choose eat my dinner in a fancy restaurant but nothing i said nothing can take away these blues   cause nothing compares nothing compares 2 u it been so lonely without u here like a bird without a song nothing can stop this lonely rage tell me baby where did i go wrong i could put my arms around every boy i see but they would only remind me of you i went to the doctor guess what he told me guess what he told me he said rossie u better have fun no matter what u do cause it the blues  cause nothing compares nothing compares 2 u all the flowers that u planted  in the back yard suga all died when u went away i know that living with me baby was sometimes hard but i am willing to try  said i am willing to give it another try   cause nothing compares nothing compares 2 u","nothing compares to you",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"489","now freaks on the floor freaks on the floor one  two  one  two  freaks on the floor  light up another one  dude  freaks on the floor  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  one  two  one  two  ninety four i am on the set  freaks on the floor do not worry about my name  it too long to remember i could tell you now  but we would be here  til next september three  it be like that  see  this ai not about the trippers trippin  like they know they be this ai not about this  that  what  where  or how this about the freaks doin  everything they wanna do  now now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  what you wantin  to say  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  what you wanna play  three  four  three  four  ninety nine she the new hero  cuz she so divine unaffected by the system  she would rather die than write a rap for some big booty heifer gettin  by on that booty  instead of doin  duty aspire to be higher  i admire so i fire  cuz it flyer to be hungry than phat take it from this sista  y all take it from that it flyer to be hungry than phat the ride up front is better when you have been in the back that a fact this ai not about this y all  it ai not about that this ai not about the booty movin  pumpin  the max this ai not about this  that  what  where  or how this about the freaks doing everything they wanna do now now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  what you wantin  to say  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  what you wanna play  forty  forty five  snake alive say one thing  do another  it time we chill on that  nah  i do not need a gat i would rather see yourself checkin  ass up to bat for another swing anybody can sing there more to genius than the word my sister anything i would bring or would you rather dine alone  if you change your mind  you can reach me on your video phone it a dime  as in dollars and that my two bloody cents this ai not about this  that  what  where  or how this about the freaks doing everything they wanna do now now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  what you wantin  to say  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  what you wanna play  band  now  sixty seven  sixty seven freaks dance like they in heaven dj do not stop the music  dj do not stop the music fill us with de dope track  lick us  twist us roll us in your mouth light us up and take a hit light us up and take a hit suck us  til we are dry and when we are lookin  like a roach  hit the lights before you say goodnight though let make a toast  yo this ai not about this  that  what  where  or how this about the freaks doing everything they wanna do now now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  now  one  two  three  four come on  come on  freaks on the floor    go  go  yeah  now  go  go  yeah  freaks on the floor  now freaks on the floor  now freaks on the floor  now","now",1995,"The Gold Experience",NA,NA,NA,"1990s","Uncharted","Uncharted"
"490","meanwhile  somewhere in outer space photelic drive stable at this time  ha  ha you hav not even seen tommy  have ya   no  a million  two hundred million kilowatts per second captain yes  ensign elm i will be taking a weekend furlough down in the what  that not fast enough we have too get up too for that right  it fast when we fix it it has too be i am going to the intergalactic glam slam down there  furlough  what do you mean  try it  it fast  what kind of piece of junk is this  i am going too the intergalactic carnival this shipment voodoo i am gonna send it  8 million before  i am goin  fishin   cause that my style  go  it  i tried 2 fix this    wait  wait a minute  what is this   huh  i do not know  try a little more i do not  oh my  i better tell the captain    the captain  captain  i am getting some strange readings on my vanilla scope maybe you should take a listen  leave me alone i am busy hookin  up the world too my latest creation the endorphin machine  yep  uh huh  the only one of its kind  the only one of its kind  uh  huh  i do not know captain  you better come check this out i have all the best minds in europe  every one  yep  and soon i will have all the minds of the world ha  ha  ha  ha  ha  ha  ha  ha  but it appears too be getting louder and closer huh  oh my god  it them what up mutha as  stay calm and no one will be hurt watch out   what he would say  what  what  what that  get out of the way hey  come here you  get your ass over here get your ass on the floor  we takin  this   over get your hand out of your pants  i see ya take your hands out of your pants right now get  em out of there  come here  get on the floor what  fellas  get over here now i will whip your ass who  what  where  ask him  what  who  get them to say  em leave me alone  what  what  you do not have to ask us now come here  goddarn it hey  i have had enough i think we got control now u will be moved when the npg come and take a chunk of your ass","npg bum rush the ship",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"491","welcome to the dawn you have just accessed the now experience this experience is great for dancing","npg operator",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"492","prince miscellaneous npg operator  i  hello  welcome 2 the dawn playground 4 the new power generation there are over 500 experiences 2 choose from  here a sample","npg operator i",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"493","prince miscellaneous npg operator  ii  welcome 2 the dawn u have just accessed the beautiful experience this experience will cover courtship  sex  commitment fetishes  loneliness  vindication  love and hate please enjoy your experience","npg operator ii",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"494","prince miscellaneous npg operator  iii  welcome 2 the dawn u have just accessed the now experience this experience is great 4 dancing and improving self esteem other titles in this category include irresistible    housequake and sexy mf but that was then  this is    ","npg operator iii",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"495","prince miscellaneous npg operator intro new power generation is this paisley park  no  this is not that record company this is n p g  records are u conducting a talent search  yes  that true we are conducting a worldwide talent search what are u looking 4  what are we looking 4  yes well  first and foremost  u have 2 get free free  u know  when it comes time 2 download your work into your fans  computers u can not have any other contractual obligations ahh second of all  u have 2 get smart wait a minute the more substantial your education  the more substantial your income in the new city really  and thirdly and above all what  in the face of all adversity  u must be able 2    ","npg operator intro",NA,"Other Songs",NA,NA,NA,"NA","Uncharted","Uncharted"
"496","prince miscellaneous npg operator  iv  welcome 2 the dawn u have just accessed the beautiful experience this experience will cover courtship  sex  commitment   commitment   commitment 319 please un instant  je vous connecte  one moment while i connect you ","npg operator iv",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"497","prince miscellaneous npg operator  v  please access another experience please access another experience please access another ex  ","npg operator v",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"498","prince miscellaneous npg operator  vi   lines looped  u have just accessed the beautiful experience  this experience will cover courtship  sex  commitment fetishes  loneliness  vindication  love and hate welcome   welcom   welco   welc   wel   we   w   welcome 2 the dawn u have just accessed the gold experience press gold 2 begin","npg operator vi",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"499","prince one nite alone objects in the mirror that my favorite time with u just after we make a movie  the kind that requires the title  parental advisory  let brush r teeth in the same sink  do not worry girl it cool we can pose in the mirror  eye am diggin u diggin  on me yea  me diggin  on u we are hooked up now  eye can try her eye can put my load in the dryer so much we can share the same height  weight  and body fluid we are hooked up now  we can do it been waitin  baby    it so hard 2 bear the objects in the mirror r closer than they appear   ","objects in the mirror",2002,"One Nite Alone",NA,NA,NA,"2000s","Uncharted","Uncharted"
"500","prince miscellaneous oh  baby oh baby  we are all alone  nowhere 2 go  no telephone  just u and me and this big ole bed  u ai not got nowhere 2 go  u might as well stop being so cool  honey  baby  break down  oh baby  take off your clothes  do it over by the window  feel the wind blow  that the atmosphere  ooh baby  come here  oh  baby  oh no no   oh  baby  oh baby  honey  take your time  cuz when u come  u come and come  that when i get mine  until then  i said honey   close your eyes   oh  oh no  oh no no  yeah  oh baby  x2   oh baby  baby  do not make me wait   do not make me wait   repeat in bg   oh no no  i can not stand it  baby  do not make me  do not make me wait  girl  yeah  oh no no no  girl  what it gonna be  baby   u know i can not wait  please  please  u know u ai not got nowhere 2 go  we have come this far  come on  oh  baby  oh  baby  break down  baby  x2   oh  break down  break down  break down  baby  go on and break it on down  give me your love   give me your mind   break down   oh baby  break down   x2   oh girl  break down   break down   x2   oh no no    oh  baby  let me do ya please   oh girl  oh  baby  x2 ","oh baby",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"501","every once in awhile you need some ol  skool company somebody that appreciates a sexy groove and an ol  school melody when god  his son and the love of family ruled in the community the songs you sing lift you up to heaven a heaven we can believe in everybody talkin  about hard times like it just started yesterday people i know they have been strugglin  at least it seems that way fat cats on wall street they got a bailout while somebody else got to wait seven hundred billion but my old neighborhood ai not nothing changed but the date  listen every once in a while you need some ol  skool company somebody that appreciates a sexy groove and an ol  school melody when god  his son and the love of family ruled in the community the songs you sing lift you up to heaven a heaven we can believe in ai not nothing ever come from complaining except a bitter heart  that true follow along and you gon  wanna do something before the next chorus is through the songs we sing they used to mean somethin  now every other one is just mean rather than reminisce i am telling you this it time for a brand new scene every once in a while you need some ol  skool company somebody that appreciates a sexy groove and an ol  school melody when god  his son and the love of family ruled in the community the songs you sing lift you up to heaven a heaven we can believe in everybody sinkin  in the quicksand created by the keepers of time cast aside by using ancient tricks that changes your state of mind got you catering to the whims of the flesh before you get your paper right call me old fashioned but back in the day there was not no shawties in sight ol  skool company ol  school melody ruled in the community lift you up  a heaven we can believe in first come job then come marriage before shawty come out with the baby carriage call me old fashioned just clap yo  hands  just clap yo  hands radio used to be local untouched by the untouched by the man songs we used to sing  used to mean something now they just bland like the drummer ol  skool company ol  school melody ruled in the community lift you up  a heaven we can believe in new world hippies say we do not care make the party strip to their underwear turn the lights off so they do not stare somebody blind fold billy  he so square christina milian playing truth or dare maxwell and cee lo they gonna end up there picking out the number  nick the dime  do not care as long as she has not found nobody scared ol  skool company ol  skool melody ruled in the community ol  skool company ol  skool melody ol  skool company ol  skool melody ruled in the community lift you up  a heaven we can believe in","ol skool company",NA,NA,NA,NA,NA,"NA","Uncharted","Uncharted"
"502","the sun set in my heart this evenin   cause an old friend of mine got lost in the jive little did she know  when you are stuck in the snow nobody gets out alive tears fall gently in my garden as i wait in vain for my sweet baby to call i guess what my own brother told me was true he had been with my sweet baby and she never really loved me at all night fell so dark this evenin  the moon was not shining  nowhere sometimes that old light in the alley would light up this old heart of mine but now i am wonderin  if there someone up there who really cares the night fell darkest in persia what used to flow blue is now flowin  black many a doctor can try but only heaven knows why when it comes to love why do some men  why do some men turn their backs  ca not somebody please tell me  maybe the morning air will make me feel better oh  i hope  better than i feel right now last night a stranger took my picture and then he  uh  he asked if i would buy it huh  i said   i guess i do not know how  old  old friends 4 sale get  em while the gettin  is hot but you better watch out they will kiss you until they get what you got and they will show you the friends that they are not old friends 4 sale  yeah","old friends 4 sale",1999,"The Vaule … Old Friends 4 Sale",NA,NA,NA,"1990s","Uncharted","Uncharted"
